# v(mm/s) counts error
-0.378046 8571790 2927
-0.331729 8561358 2926
-0.285412 8528459 2921
-0.239095 8499294 2915
-0.192779 8469201 2910
-0.146462 8425457 2903
-0.100145 8387449 2897
-0.0538278 8346777 2890
-0.00751089 8308678 2883
0.038806 8264884 2876
0.085123 8249493 2872
0.13144 8230639 2869
0.177757 8228085 2869
0.224074 8253376 2872
0.270391 8297294 2879
0.316708 8330700 2886
0.363025 8371584 2893
0.409341 8400908 2898
0.455658 8409907 2900
0.501975 8397215 2898
0.548292 8391315 2897
0.594609 8348361 2890
0.640926 8300899 2881
0.687243 8273792 2876
0.73356 8238484 2871
0.779877 8236628 2871
0.826194 8257904 2872
0.872511 8276941 2877
0.918828 8321430 2884
0.965145 8363152 2891
1.01146 8412977 2900
1.05778 8448896 2907
1.1041 8489083 2914
1.15041 8520854 2919
1.19673 8542090 2922
1.24305 8560569 2926
1.28936 8573494 2929
1.33568 8591590 2931
1.382 8599111 2933
1.42831 8607096 2934
1.47463 8621654 2936
1.52095 8616454 2936
1.56726 8626867 2938
1.61358 8626185 2938
1.6599 8628870 2938
1.70622 8625489 2938
1.75253 8642217 2939
1.79885 8637793 2939
1.84517 8644028 2939
1.89148 8639177 2939
1.9378 8641721 2939
1.98412 8638656 2939
2.03043 8649020 2941
2.07675 8649495 2941
2.12307 8650229 2941
2.16938 8638784 2939
2.2157 8649796 2941
2.26202 8649800 2941
2.30834 8651772 2941
2.35465 8650309 2941
2.40097 8640155 2939
2.44729 8653612 2941
2.4936 8647171 2941
2.53992 8652426 2941
2.58624 8651659 2941
2.63255 8652620 2941
2.67887 8650496 2941
2.72519 8652428 2941
2.7715 8651651 2941
2.81782 8651002 2941
2.86414 8648919 2941
2.91046 8645246 2941
2.95677 8649026 2941
3.00309 8646589 2941
3.04941 8644993 2941
3.09572 8642706 2941
3.14204 8648583 2941
3.18836 8647148 2941
3.23467 8652754 2941
3.28099 8647191 2941
3.32731 8652365 2941
3.37362 8652694 2941
3.41994 8652309 2941
3.46626 8649040 2941
3.51258 8644192 2941
3.55889 8649044 2941
3.60521 8648507 2941
3.65153 8649135 2941
3.69784 8648701 2941
3.74416 8648091 2941
3.79048 8647074 2941
3.83679 8648121 2941
3.88311 8651987 2941
3.92943 8648078 2941
3.97574 8646148 2941
4.02206 8650221 2941
4.06838 8642313 2941
4.1147 8645852 2941
4.16101 8648578 2941
4.20733 8652990 2941
4.25365 8649980 2941
4.29996 8650220 2941
4.34628 8647879 2941
4.3926 8648534 2941
4.43891 8654277 2941
4.48523 8653203 2943
4.53155 8656059 2941
4.57786 8647528 2941
4.62418 8655605 2941
4.6705 8665514 2943
4.71681 8650284 2941
4.76313 8653244 2941
4.80945 8647624 2941
4.85577 8646337 2941
4.90208 8650788 2941
4.9484 8653905 2941
4.99472 8648294 2941
5.04103 8654601 2941
5.08735 8657646 2943
5.13367 8647116 2941
5.17998 8649568 2941
5.2263 8647667 2941
5.27262 8652508 2941
5.31894 8653099 2941
5.36525 8651321 2941
5.41157 8652825 2941
5.45789 8648928 2941
5.5042 8651448 2941
5.55052 8645809 2941
5.59684 8650530 2941
5.64315 8644718 2941
5.68947 8646544 2941
5.73579 8656917 2943
5.7821 8652969 2941
5.82842 8658284 2943
5.87474 8655488 2943
5.92106 8654502 2941
5.96737 8648747 2941
6.01369 8652219 2941
6.06001 8649001 2941
6.10632 8649742 2941
6.15264 8651227 2941
6.19896 8661566 2943
6.24527 8650665 2941
6.29159 8662885 2943
6.33791 8662149 2943
6.38422 8658826 2943
6.43054 8652839 2941
6.47686 8647148 2941
6.52318 8653280 2941
6.56949 8651399 2941
6.61581 8650820 2941
6.66213 8656970 2943
6.70844 8648390 2941
6.75476 8648417 2941
6.80108 8657927 2943
6.84739 8664134 2943
6.89371 8655255 2943
6.94003 8657584 2943
6.98634 8647898 2941
7.03266 8651980 2941
7.07898 8651698 2941
7.1253 8647933 2941
7.17161 8660209 2943
7.21793 8657470 2943
7.26425 8652541 2941
7.31056 8655267 2941
7.35688 8649464 2941
7.4032 8656133 2943
7.44951 8643852 2941
7.49583 8651754 2941
7.54215 8645506 2941
7.58846 8661832 2943
7.63478 8655060 2943
7.6811 8652312 2941
7.72742 8651508 2941
7.77373 8654324 2943
7.82005 8653803 2941
7.86637 8653336 2941
7.91268 8651664 2941
7.959 8649766 2941
8.00532 8647263 2941
8.05163 8650466 2941
8.09795 8648536 2941
8.14427 8653176 2941
8.19058 8651244 2941
8.2369 8643890 2941
8.28322 8647476 2941
8.32954 8653102 2941
8.37585 8650319 2941
8.42217 8645903 2941
8.46849 8650961 2941
8.5148 8654523 2941
8.56112 8654929 2941
